device_id,timestamp,received_at,level,pump_state,hour,day
chateau_1,123456789,2025-07-14T00:00:00Z,79.95960352638532,False,0,2025-07-14
chateau_1,123456849,2025-07-14T00:01:00Z,79.94696204316806,False,0,2025-07-14
chateau_1,123456909,2025-07-14T00:02:00Z,79.8704158765095,False,0,2025-07-14
chateau_1,123456969,2025-07-14T00:03:00Z,79.81237764870836,False,0,2025-07-14
chateau_1,123457029,2025-07-14T00:04:00Z,79.749204297685,False,0,2025-07-14
chateau_1,123457089,2025-07-14T00:05:00Z,79.71433344635953,False,0,2025-07-14
chateau_1,123457149,2025-07-14T00:06:00Z,79.64701923080152,False,0,2025-07-14
chateau_1,123457209,2025-07-14T00:07:00Z,79.57700686269729,False,0,2025-07-14
chateau_1,123457269,2025-07-14T00:08:00Z,79.49598125488572,False,0,2025-07-14
chateau_1,123457329,2025-07-14T00:09:00Z,79.42206572764854,False,0,2025-07-14
chateau_1,123457389,2025-07-14T00:10:00Z,79.40856779095748,False,0,2025-07-14
chateau_1,123457449,2025-07-14T00:11:00Z,79.37139216231145,False,0,2025-07-14
chateau_1,123457509,2025-07-14T00:12:00Z,79.34757442619035,False,0,2025-07-14
chateau_1,123457569,2025-07-14T00:13:00Z,79.34517800420231,False,0,2025-07-14
chateau_1,123457629,2025-07-14T00:14:00Z,79.29109164759224,False,0,2025-07-14
chateau_1,123457689,2025-07-14T00:15:00Z,79.25059954686411,False,0,2025-07-14
chateau_1,123457749,2025-07-14T00:16:00Z,79.2110514398904,False,0,2025-07-14
chateau_1,123457809,2025-07-14T00:17:00Z,79.17354074095134,False,0,2025-07-14
chateau_1,123457869,2025-07-14T00:18:00Z,79.07830485745025,False,0,2025-07-14
chateau_1,123457929,2025-07-14T00:19:00Z,79.05267612457087,False,0,2025-07-14
chateau_1,123457989,2025-07-14T00:20:00Z,78.997724532079,False,0,2025-07-14
chateau_1,123458049,2025-07-14T00:21:00Z,78.91773795983755,False,0,2025-07-14
chateau_1,123458109,2025-07-14T00:22:00Z,78.84405294263162,False,0,2025-07-14
chateau_1,123458169,2025-07-14T00:23:00Z,78.77015807026723,False,0,2025-07-14
chateau_1,123458229,2025-07-14T00:24:00Z,78.70542684357737,False,0,2025-07-14
chateau_1,123458289,2025-07-14T00:25:00Z,78.62003361878864,False,0,2025-07-14
chateau_1,123458349,2025-07-14T00:26:00Z,78.608306858433,False,0,2025-07-14
chateau_1,123458409,2025-07-14T00:27:00Z,78.59631877203879,False,0,2025-07-14
chateau_1,123458469,2025-07-14T00:28:00Z,78.55945092665606,False,0,2025-07-14
chateau_1,123458529,2025-07-14T00:29:00Z,78.51366067341263,False,0,2025-07-14
